Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Far Cry 3;Tiro em Primeira Pessoa;Ubisoft;PlayStation 3;13/01/16;25;2012
Call of Duty: Black Ops II;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PlayStation 3;02/02/16;7;2012
The Walking Dead: Season One;Point and Click;Telltale Games;PlayStation 3;25/02/16;2,5;2012
The Last of Us;Survival Horror;Naughty Dog;PlayStation 3;03/08/16;15;2013
inFamous;Aventura;Sucker Punch Productions;PlayStation 3;04/08/16;15;2009
God of War;Hack and Slash;Santa Monica Studios;PlayStation 3;07/08/16;9;2005
God of War II;Hack and Slash;Santa Monica Studios;PlayStation 3;25/08/16;12;2007
Metal Gear Solid V: Ground Zeroes;Tiro em Terceira Pessoa;Kojima Productions/KONAMI;PlayStation 3;01/12/16;2;2015
Grand Theft Auto V;A��o;Rockstar Games;PlayStation 3;05/12/16;35;2013
Ratchet & Clank: Full Frontal Assault;Tiro em Terceira Pessoa;Insomniac Games;PlayStation 3;12/12/16;5;2012
Kingdom: Classic;Aventura;Raw Fury Games;PC;07/01/18;10;2015
UFC Undisputed 2010;Luta;THQ Nordic;PlayStation 3;01/06/18;24;2010
PlayStation All-Stars Battle Royale;Luta;SuperBot Entertainment/ SCE Santa Monica;PlayStation 3;26/08/18;3,5;2012
inFamous: Festival of Blood;Aventura;Sucker Punch Productions;PlayStation 3;26/09/18;3;2011
Max Payne 3;Tiro em Terceira Pessoa;Rockstar Games;PlayStation 3;02/12/18;10;2012
God of War: Chains of Olympus;Hack and Slash;Ready at Dawn/Santa Monica Studios;PlayStation 3;12/12/18;5,5;2008
God of War: Ghost of Sparta;Hack and Slash;Ready at Dawn/Santa Monica Studios;PlayStation 3;25/12/18;6,5;2010
Soul Calibur V;Luta;Namco Bandai Games;PlayStation 3;02/01/19;3;2012
Battlefield 4;Tiro em Primeira Pessoa;DICE/ EA Games;PlayStation 3;03/01/19;6;2013
Assassin's Creed III: Liberation HD;Ação;Ubisoft;PlayStation 3;07/01/19;8;2012
